cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,0,0,3,Age of Knights,4,3,SnoopyWoopy,0,4cc0fa2abca29384,Loss,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,6,1,30,3,0
1,8,0,16,Age of Knights,4,3,SnoopyWoopy,1,4cc0fa2abca29384,Loss,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,7,1,50,5,0
1,19,0,45,Age of Knights,4,3,SnoopyWoopy,13,4cc0fa2abca29384,Loss,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,10,1,76,7,0
8,34,0,54,Age of Knights,4,3,SnoopyWoopy,30,4cc0fa2abca29384,Loss,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,12,1,115,7,0
11,58,0,81,Age of Knights,4,3,SnoopyWoopy,50,4cc0fa2abca29384,Loss,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,1,14,1,159,8,0
22,157,0,253,Age of Knights,4,3,SnoopyWoopy,91,4cc0fa2abca29384,Loss,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,19,1,310,16,0
53,314,0,473,Age of Knights,4,3,SnoopyWoopy,100,4cc0fa2abca29384,Loss,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,21,1,514,28,0
1,0,0,0,Age of Knights,5,4,Player 5,0,4cc0fa2abca29384,Win,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,2,0,17,1,0
1,16,0,2,Age of Knights,5,4,Player 5,0,4cc0fa2abca29384,Win,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,9,0,52,3,0
1,44,0,48,Age of Knights,5,4,Player 5,1,4cc0fa2abca29384,Win,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,14,0,103,4,0
1,87,0,95,Age of Knights,5,4,Player 5,14,4cc0fa2abca29384,Win,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,17,0,174,4,0
1,123,0,107,Age of Knights,5,4,Player 5,22,4cc0fa2abca29384,Win,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,19,0,241,5,0
1,153,0,138,Age of Knights,5,4,Player 5,23,4cc0fa2abca29384,Win,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,21,0,282,5,0
1,241,0,257,Age of Knights,5,4,Player 5,41,4cc0fa2abca29384,Win,2,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,28,0,439,5,0
1,386,0,501,Age of Knights,5,4,Player 5,48,4cc0fa2abca29384,Win,2,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,28,0,627,5,0
1,0,0,0,Age of Knights,6,5,Player 6,0,4cc0fa2abca29384,Win,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,2,0,17,1,0
1,16,0,5,Age of Knights,6,5,Player 6,0,4cc0fa2abca29384,Win,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,8,0,52,4,0
1,42,0,47,Age of Knights,6,5,Player 6,0,4cc0fa2abca29384,Win,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,15,0,105,4,0
1,85,0,96,Age of Knights,6,5,Player 6,8,4cc0fa2abca29384,Win,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,16,0,167,4,0
1,109,0,107,Age of Knights,6,5,Player 6,16,4cc0fa2abca29384,Win,1,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,20,0,221,5,0
1,145,0,131,Age of Knights,6,5,Player 6,25,4cc0fa2abca29384,Win,1,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,24,0,282,5,0
1,210,0,204,Age of Knights,6,5,Player 6,33,4cc0fa2abca29384,Win,1,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,29,0,389,5,0
